fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
990,114789,Brian Giles,54.8,17,435,1989,CA,71,195,ca,RF,L,L,1995,2009,Yes
4810,435263,Brian McCann,54.5,2,64,2002,GA,75,225,ga,C,L,R,2005,2019,Yes
1011986,122247,Ted Simmons,54.2,1,10,1967,MI,72,200,mi,C,S,R,1968,1988,Yes
9847,457705,Andrew McCutchen,52.7,1,11,2005,FL,70,190,fl,DH,R,R,2009,2023,Yes
1857,408045,Joe Mauer,52.5,1,1,2001,MN,77,225,mn,C,L,R,2004,2018,Yes
1002318,112345,Will Clark,52,1,2,1985,LA,73,190,la,1B,L,L,1986,2000,No
1007518,117669,Chet Lemon,52,1,22,1972,MS,72,195,ca,CF,R,R,1975,1990,Yes
3787,431151,David Wright,52,1000,38,2001,VA,72,205,va,3B,R,R,2004,2018,Yes
1010897,121140,Jim Rice,50.8,1,15,1971,SC,74,205,sc,LF,R,R,1974,1989,Yes
1070,111904,Mike Cameron,50.6,18,488,1991,GA,74,210,ga,CF,R,R,1995,2011,Yes
1002288,112326,Jack Clark,50.6,13,294,1973,PA,74,205,ca,RF,R,R,1975,1992,Yes
11493,592518,Manny Machado,50.3,1,3,2010,FL,75,218,fl,3B,R,R,2012,2023,No
818,114739,Jason Giambi,49.8,2,58,1992,CA,75,240,ca,1B,L,R,1995,2014,No
1873,407812,Matt Holliday,49.7,7,210,1998,OK,76,240,ok,LF,R,R,2004,2018,Yes
971,276519,Jimmy Rollins,49.4,2,46,1996,CA,67,175,ca,SS,S,R,2000,2016,Yes
1007872,118040,Fred Lynn,49.2,2,41,1973,IL,73,190,il,CF,L,L,1974,1990,No
11579,547180,Bryce Harper,48.9,1,1,2010,NV,75,210,nv,DH,L,R,2012,2023,No
6195,435079,Ian Kinsler,47.7,17,496,2003,AZ,72,200,az,2B,R,R,2006,2019,No
4747,434158,Curtis Granderson,47.6,3,80,2002,IL,73,200,il,CF,L,R,2004,2019,No
8370,456030,Dustin Pedroia,46.6,2,65,2004,CA,69,170,ca,2B,R,R,2006,2019,No
5038,518626,Josh Donaldson,46.1,1000,48,2007,FL,73,210,fl,3B,R,R,2010,2023,No
1152,136770,J.D. Drew,46,1,2,1997,GA,73,200,ga,RF,L,R,1998,2011,No
9777,571448,Nolan Arenado,45.7,2,59,2009,CA,74,215,ca,3B,R,R,2013,2023,Yes
56,115007,Mark Grace,45.5,24,622,1985,NC,74,200,nc,1B,L,L,1988,2003,No
1012911,123183,Gene Tenace,45,20,399,1965,PA,72,190,oh,C,R,R,1969,1983,Yes
77,124326,Matt Williams,44.8,1,3,1986,CA,74,225,ca,3B,R,R,1987,2003,No
1281,407893,Mark Teixeira,44.7,1,5,2001,MD,75,225,md,1B,S,R,2003,2016,No
12916,596019,Francisco Lindor,44.7,1,8,2011,NA,71,190,fl,SS,S,R,2015,2023,Yes
185,113028,Johnny Damon,44.4,1000,35,1992,KS,74,205,fl,CF,L,L,1995,2012,Yes
7435,450314,Ben Zobrist,44.4,6,184,2004,IL,75,210,il,2B,S,R,2006,2019,No
1009355,119545,Dale Murphy,44.3,1,5,1974,OR,77,215,or,CF,R,R,1976,1993,Yes
3410,460075,Ryan Braun,43.9,1,5,2005,CA,74,205,fl,LF,R,R,2007,2020,No
1010021,120248,Lance Parrish,43.4,1,16,1974,PA,75,220,ca,C,R,R,1977,1995,Yes
731,116338,Torii Hunter,43,1,20,1993,AR,74,220,ar,CF,R,R,1997,2015,Yes
4949,519317,Giancarlo Stanton,43,2,76,2007,CA,78,245,ca,DH,R,R,2010,2023,Yes
11477,592885,Christian Yelich,43,1,23,2010,CA,75,207,ca,LF,L,R,2013,2023,Yes
1001772,111812,Brett Butler,42.2,23,573,1979,CA,70,160,ca,CF,L,L,1981,1997,No
1001918,111962,Jose Canseco,42.1,15,391,1982,NA,76,240,fl,RF,R,R,1985,2001,Yes
1013363,123653,Andy Van Slyke,41.9,1,6,1979,NY,74,192,ny,CF,L,R,1983,1995,Yes
1007750,117912,Davey Lopes,41.8,8,158,1967,RI,69,170,ri,2B,R,R,1972,1987,No
1013862,124164,Devon White,41.8,6,132,1981,NA,74,182,ny,CF,S,R,1985,2001,Yes
1012606,122864,Darryl Strawberry,41.5,1,1,1980,CA,78,200,ca,OF,L,L,1983,1999,Yes
1201,408307,Carl Crawford,41.5,2,52,1999,TX,74,230,tx,LF,L,L,2002,2016,Yes
190,114596,Nomar Garciaparra,41.4,1,12,1994,CA,72,190,ca,SS,R,R,1996,2009,No
1010000,120225,Dave Parker,41.1,14,324,1970,MS,77,230,oh,RF,L,R,1973,1991,Yes
1000802,110839,Albert Belle,41,2,47,1987,LA,74,225,la,LF,R,R,1989,2000,No
1009818,120028,Paul O'Neill,41,4,93,1981,OH,76,215,oh,RF,L,L,1985,2001,Yes
1009334,119531,Thurman Munson,40.9,1,4,1968,OH,71,190,oh,C,R,R,1969,1979,No
1010450,120678,Darrell Porter,40.8,1,4,1970,MO,72,193,ok,C,L,R,1971,1987,Yes
1008261,118443,Don Mattingly,40.7,19,493,1979,IN,72,175,in,1B,L,L,1982,1995,Yes
15640,592450,Aaron Judge,40.6,1,32,2013,CA,79,282,ca,RF,R,R,2016,2023,No
