fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
1292,112020,Chris Carpenter,37.9,1,15,1993,NH,78,230,nh,P,R,R,1997,2012,Yes
1131,121834,Jason Schmidt,37.5,8,205,1991,ID,77,220,wa,P,R,R,1995,2009,Yes
1012824,123090,Kevin Tapani,37.4,2,40,1986,IA,72,190,ia,P,R,R,1989,2001,No
1004133,114216,Mike Flanagan,37.2,7,159,1973,NH,72,195,nh,P,L,L,1975,1992,No
1005989,116115,Ken Holtzman,37.2,4,61,1965,MO,74,175,mo,P,R,L,1965,1979,No
287,117758,Jon Lieber,36.9,2,44,1992,IA,74,240,ia,P,L,R,1994,2008,No
10131,544931,Stephen Strasburg,36.6,1,1,2009,CA,77,239,ca,P,R,R,2010,2023,No
883,117652,Al Leiter,36.5,2,50,1984,NJ,75,220,nj,P,L,L,1987,2005,Yes
510,277417,Josh Beckett,36.3,1,2,1999,TX,77,230,tx,P,R,R,2001,2014,Yes
1144,110854,Andy Benes,36.2,1,1,1988,IN,78,245,in,P,R,R,1989,2002,No
1014174,124491,Mike Witt,35.9,4,92,1978,CA,79,192,ca,P,R,R,1981,1993,Yes
1006222,116350,Bruce Hurst,35.8,1,22,1976,UT,75,215,ut,P,L,L,1980,1994,Yes
1010887,121124,Rick Rhoden,35.3,1,20,1971,FL,75,195,fl,P,R,R,1974,1989,Yes
1000122,110124,Doyle Alexander,34.9,9,184,1968,AL,75,205,al,P,R,R,1971,1989,Yes
282,114971,Tom Gordon,34.7,6,157,1986,FL,70,200,fl,P,R,R,1988,2009,Yes
1009122,119313,Mike Moore,34.7,1,1,1981,OK,76,205,ok,P,R,R,1982,1995,No
1008799,118990,Andy Messersmith,34.2,3,53,1965,NJ,73,200,nj,P,R,R,1968,1979,No
16149,605400,Aaron Nola,33.9,1,7,2014,LA,74,200,la,P,R,R,2015,2023,No
1008473,118656,Jack McDowell,33.6,1,5,1987,CA,77,180,ca,P,R,R,1987,1999,No
1003473,113538,Doug Drabek,33.4,4,88,1980,TX,73,185,tx,P,R,R,1986,1998,Yes
1012734,122996,Rick Sutcliffe,33.2,1,21,1974,MO,79,215,mo,P,L,R,1976,1994,Yes
1007492,117643,Charlie Leibrandt,33.1,9,225,1978,IL,75,200,oh,P,R,L,1979,1993,No
710,282656,Ben Sheets,33,1,10,1999,LA,73,220,la,P,R,R,2001,2012,No
1007531,117687,Dennis Leonard,32.9,2,42,1972,NY,73,190,ny,P,R,R,1974,1986,No
574,121110,Shane Reynolds,32.6,3,72,1989,LA,75,215,la,P,R,R,1992,2004,No
1011422,121678,Scott Sanderson,32.6,3,54,1977,MI,77,200,mi,P,R,R,1978,1996,No
1010913,121145,J.R. Richard,32.4,1,2,1969,LA,80,222,la,P,R,R,1971,1980,Yes
7059,448306,James Shields,32.3,16,466,2000,CA,75,210,ca,P,R,R,2006,2018,Yes
7448,461829,Gio González,32.2,1000,38,2004,FL,72,205,fl,P,R,L,2008,2020,Yes
5524,518516,Madison Bumgarner,32.2,1,10,2007,NC,76,240,nc,P,R,L,2009,2023,Yes
1451,421685,Aaron Harang,32.1,6,195,1999,CA,79,260,ca,P,R,R,2002,2015,No
2520,458681,Lance Lynn,31.8,6,173,2005,IN,77,270,in,P,S,R,2011,2023,Yes
10310,554430,Zack Wheeler,31.8,1,6,2009,GA,76,195,ga,P,L,R,2013,2023,Yes
1012346,122602,Paul Splittorff,31.4,25,574,1968,IN,75,210,in,P,L,L,1970,1984,No
76,123057,Greg Swindell,31.3,1,2,1986,TX,73,240,tx,P,L,L,1986,2002,No
1012941,123213,Bob Tewksbury,31.3,19,493,1981,NH,76,200,nh,P,R,R,1986,1998,No
1005333,115446,Erik Hanson,31.2,2,36,1986,NJ,78,210,nj,P,R,R,1988,1998,No
1004894,114989,Rich Gossage,31.1,9,198,1970,CO,75,215,co,P,R,R,1972,1994,Yes
1001111,111139,Mike Boddicker,31,6,152,1978,IA,71,172,ia,P,R,R,1980,1993,No
1004818,114906,Dave Goltz,31,5,97,1967,MN,76,215,mn,P,R,R,1972,1983,Yes
